BAD,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
0,25900,61064,94714,DebtCon,Office,2,0,0,98.80937484,0,23,34.56594425
0,26100,113266,182082,DebtCon,Sales,18,0,0,304.8524691,1,31,33.19394936
1,50000,220528,300900,HomeImp,Self,5,0,0,0,0,2,
1,22400,51470,68139,DebtCon,Mgr,9,0,0,31.16869601,2,8,37.95217991
0,20900,62615,87904,DebtCon,Office,5,,,177.8648492,,15,36.83107615
0,25300,62540,101165,DebtCon,ProfExe,0,0,0,195.4513312,0,25,35.20086451
1,21000,96000,125000,DebtCon,Sales,0.3,1,,116.9,1,19,
0,27700,73148,101462,DebtCon,ProfExe,10,0,0,264.6053894,0,33,40.47579335
0,16900,71672,96677,DebtCon,Other,1,0,0,153.7916948,0,30,35.32783617
1,19000,15100,23200,HomeImp,Other,3.2,1,1,64.9,3,21,
0,17200,94937,133859,DebtCon,Mgr,6,,,248.1588756,2,42,36.79087533
0,6300,99469,116260,HomeImp,Office,23,0,0,124.7455955,1,12,35.64227011
1,31000,30000,72000,DebtCon,Mgr,20,2,0,127.3,1,14,
0,14300,89984,121189,HomeImp,Mgr,4,0,2,137.5978233,0,25,41.61332522
0,26600,78491,121598,DebtCon,Other,4,1,0,84.58301005,1,33,41.34234309
0,5000,59900,80800,DebtCon,ProfExe,15,0,0,219.1333333,1,18,
0,11200,68890,84059,DebtCon,Office,12,0,0,254.0196894,3,36,41.4339438
0,17300,35070,63862,DebtCon,Other,16,0,0,125.1315694,1,17,37.93651965
1,10000,91000,110000,DebtCon,Other,16,1,3,123.7666667,2,22,
0,15300,81500,102000,HomeImp,ProfExe,3.5,0,0,123.7666667,1,25,
0,21900,147638,193065,DebtCon,ProfExe,13,,,100.775926,1,23,29.5314444
1,17500,56647,78000,DebtCon,ProfExe,11,3,2,92.3,7,29,
0,11000,50716,61492,DebtCon,Other,3,0,1,90.23032976,0,20,38.25586202
0,25100,65633,100776,DebtCon,Other,15,0,1,141.9381303,0,29,40.62020969
1,10000,19225.53,35500,HomeImp,Office,5,0,2,186,1,10,
0,20100,84965,110676,DebtCon,Mgr,18,0,0,244.02973,5,30,38.62783022
0,16400,85601,100078,HomeImp,Office,,0,0,176.6987412,1,25,43.02747053
1,15000,399550,,HomeImp,Mgr,0.9,0,0,138.1666667,1,18,
0,30000,32657,76000,DebtCon,Other,,,,288.3333333,0,16,
0,18400,40673,60418,HomeImp,Other,27,0,0,247.6495789,0,13,24.98029896
1,14900,54359,78408,DebtCon,Self,4,3,0,129.9677556,0,24,3.016141451
1,5000,31000,47350,HomeImp,ProfExe,12,,,,,,
1,7500,57340,80000,DebtCon,ProfExe,4,0,5,86.23333333,3,14,
0,12500,,52026,HomeImp,Mgr,6,,,173.7172393,,8,21.6211951
1,19900,93619,130000,DebtCon,Office,9,2,5,210.9666667,2,18,
0,5700,28127,36524,HomeImp,ProfExe,10,0,0,181.2829568,0,13,24.33953357
1,9700,47000,82000,HomeImp,Other,,1,2,96.63333333,,8,
1,25000,110676,,DebtCon,Sales,8,2,0,119.3666667,0,6,
1,12000,50581,70171,HomeImp,Other,,0,2,206.3192338,1,12,29.84313667
0,33700,28956,45640,DebtCon,Other,0,0,0,59.04270368,0,6,16.49508064
1,20000,151982,,DebtCon,Self,,2,5,146.5,1,43,
0,26500,29751,57501,,Office,1,0,0,114.359189,2,7,37.07547187
0,10600,56352,75277,DebtCon,Office,5,0,0,98.37727819,2,15,26.24239431
0,18100,46145,72200,DebtCon,ProfExe,11,0,0,178.1920777,0,42,40.57402248
0,13400,95084,117279,HomeImp,Office,4,0,0,145.9623436,0,21,39.24466948
0,9400,81596,116738,HomeImp,Office,28,0,0,338.6290354,1,38,34.16951368
0,12400,,65317,HomeImp,Other,,0,0,349.2796108,0,6,35.71441843
1,53800,82324,154409,DebtCon,Other,10,,1,157.4840113,0,34,41.65904448
0,18700,87958,114696,DebtCon,Other,20,0,0,301.9122949,0,17,24.41521969
0,13100,70368,87407,DebtCon,Other,2,0,0,232.9947127,3,26,29.66798564
0,13700,70763,78449,DebtCon,Office,12,0,0,271.6567243,5,36,40.56198365
0,9700,59633,70398,HomeImp,Other,4,0,0,239.0382058,1,16,38.86724899
0,4900,58688,63348,DebtCon,ProfExe,9,0,3,179.1625747,2,31,22.54439284
0,10000,147234,175300,HomeImp,Office,6,0,0,192.7666667,1,56,
0,20200,105278,180304,DebtCon,Office,6,0,0,218.6578187,3,24,41.80676309
0,14700,30306,44195,HomeImp,Other,9,0,1,87.43122628,2,12,29.40493516
0,12100,67927,94126,DebtCon,Other,2,0,0,35.53887812,2,3,38.84759708
1,20000,73400,94000,DebtCon,Mgr,9,0,0,270,2,14,
0,15400,110900,126400,DebtCon,,16,0,0,179.5666667,1,18,
0,9400,,30455,HomeImp,Office,18,0,0,194.614216,0,16,39.00006486
1,10200,48670,90444,HomeImp,Other,,1,1,89.35547488,,7,39.15104729
0,14600,86199,95034,HomeImp,Office,,0,0,164.29505,1,25,41.54600252
1,9900,59206,75690,HomeImp,Office,6,0,2,288.3950585,1,19,30.77602786
0,18300,31427,60249,DebtCon,Other,16,0,0,110.5522774,0,18,40.00125599
0,23900,90244,120751,DebtCon,Self,3,0,0,194.9872525,1,26,35.40605965
1,12000,,33879,DebtCon,Other,,1,0,121.3795359,0,4,39.69469137
0,11700,64278,76055,,Other,12,0,0,245.2951629,0,26,28.43996584
0,51700,181000,255026,DebtCon,ProfExe,6,0,0,253.7420986,1,33,40.01760328
1,29000,101824,,DebtCon,Mgr,4,2,4,186.7,0,14,
1,21300,103989,143796,DebtCon,Other,9,2,0,135.2328361,3,20,44.38257789
1,20000,77900,105400,DebtCon,Mgr,4,0,0,110.6,0,17,
1,21000,,55000,DebtCon,Other,7,,,,,,
0,6600,68733,81973,HomeImp,Other,5,0,0,96.9776672,0,14,42.21104678
0,6400,57887,74776,HomeImp,Mgr,3,0,1,126.3286437,0,22,28.75634543
0,10700,147477,181050,HomeImp,Office,6,0,0,190.0210849,1,55,34.69816239
0,8700,93759,119459,HomeImp,Office,24,0,0,138.09123,1,12,38.72971089
0,20400,,94446,HomeImp,Other,6,0,0,184.82429,1,16,40.77586435
0,17300,32736,49100,DebtCon,ProfExe,4,0,0,262.9484377,0,34,38.563081
1,3000,20000,29750,DebtCon,Other,2,0,0,187.0666667,0,12,
1,5000,28000,36810,DebtCon,Other,2,1,0,222.2,1,6,
0,13000,72931,96803,DebtCon,Other,6,0,0,208.6728918,2,18,41.05223501
1,7000,18000,46520,HomeImp,Office,17,0,1,183.1,0,23,
1,36500,84978,125000,DebtCon,Self,10,0,1,213.0666667,0,64,
0,53700,24158,82627,HomeImp,Other,2,2,0,250.6665426,6,14,43.26837545
1,8700,57141,70244,HomeImp,Other,8,0,0,106.8554282,0,19,31.89131426
1,16300,25004,65000,DebtCon,Other,2,0,0,199.8333333,0,7,
0,10200,57142,72664,DebtCon,,19,0,0,158.1858039,1,12,32.49748842
0,4000,67625,80698,HomeImp,Mgr,11,,1,212.3493039,0,25,39.12871763
1,15000,,26100,DebtCon,Other,1.6,0,1,105.4666667,17,20,
1,20000,78500,109725,DebtCon,ProfExe,9.8,,1,117.6666667,2,30,
1,10000,48840,58740,HomeImp,Other,15,2,2,194.8,0,39,
0,14300,60811,89324,DebtCon,ProfExe,8,0,0,205.6830398,0,20,20.98981184
1,15000,29000,105000,HomeImp,Other,7,0,4,97.66666667,1,8,
0,14700,90662,111778,DebtCon,ProfExe,1,1,1,148.4232463,0,33,31.77010155
1,23800,55753,87971,HomeImp,Other,1,0,0,56.6670994,0,13,64.77572776
0,17800,,95639,,Other,,0,0,179.8493516,1,9,33.14225722
1,10000,,,HomeImp,Other,,,,,,,
1,9000,90969,108606,HomeImp,Mgr,5,5,2,113.2575091,5,28,27.34759661
1,13900,144263,167164,DebtCon,ProfExe,8,2,6,111.5886033,5,38,91.61259998
0,17300,51107,64135,HomeImp,Office,4,0,0,115.002195,0,17,32.25108612
0,8200,120837,176244,DebtCon,Other,8,0,0,196.7241605,0,20,34.74574315
0,10700,67065,96171,DebtCon,Office,9,0,0,205.0076003,3,28,41.58720119
0,4500,,49044,HomeImp,,0,0,0,,0,0,11.6527388
0,17200,53849,102326,HomeImp,Other,1,0,3,57.16674512,1,9,39.99115424
0,31500,10879,58089,DebtCon,Other,0,0,0,94.24803572,0,5,38.66240227
0,9100,48797,67761,DebtCon,Mgr,7,,3,116.9791548,3,11,37.79737881
1,15000,63000,100050,DebtCon,Other,,1,0,135.3,1,20,
0,20100,20153,94279,DebtCon,Other,21,0,0,227.1825172,2,40,36.6966301
0,1700,97800,112000,HomeImp,Office,3,0,0,93.33333333,0,14,
0,18200,94727,136877,DebtCon,Mgr,15,0,0,168.9599682,2,26,36.05643747
1,30200,80951,116160,DebtCon,ProfExe,19,4,0,130.3603618,0,58,50.35299879
0,15600,62622,106824,HomeImp,ProfExe,9,0,0,261.0214154,0,11,34.97887956
0,6800,178559,247611,DebtCon,Sales,,0,0,127.2341411,0,22,42.08390168
0,5600,69435,83489,DebtCon,ProfExe,14,0,0,200.418434,1,17,22.84109285
0,13000,44875,57713,DebtCon,Other,0,1,0,184.9903244,1,12,28.60207607
0,7000,58114,93391,HomeImp,ProfExe,6,0,0,200.0777551,1,24,31.73651179
1,14000,85200,,HomeImp,Other,8,1,0,188.6666667,4,17,
1,11700,62400,78000,DebtCon,Office,20,0,0,216.0666667,2,24,
1,5900,25972,41856,DebtCon,Other,2,0,2,157.9600114,3,27,40.62827818
0,17500,153839,194027,DebtCon,Other,7,0,0,,1,15,29.1136512
0,50000,,78703,HomeImp,Self,10,0,0,179.5666667,1,22,
1,12000,36000,51900,DebtCon,Other,0.1,0,0,247.5,1,10,
1,12000,118000,139350,HomeImp,ProfExe,2,0,0,153.1666667,2,17,
0,11200,62752,73003,DebtCon,ProfExe,13,0,0,226.5659049,3,31,38.33979805
1,18000,62000,160800,HomeImp,ProfExe,15,0,0,129.8333333,1,11,
1,4400,53091,64074,DebtCon,Office,14,1,3,89.86105825,0,17,39.15808483
1,6000,,43683,HomeImp,Other,,,,,,,21.93549881
1,7500,12115,35910,HomeImp,Office,13,3,6,234.9007508,0,24,24.66227667
0,17000,60483,85015,HomeImp,ProfExe,4,0,0,116.5252651,0,12,27.29874318
1,15000,61438,127300,DebtCon,Self,4,1,3,134.2666667,1,17,
1,22000,74200,109800,DebtCon,ProfExe,1,1,0,317.5333333,4,42,
1,14000,46400,,DebtCon,Other,18,0,1,145.0666667,1,14,
1,12200,97000,109800,HomeImp,ProfExe,5,0,0,152.1333333,3,33,
0,9600,45240,60136,DebtCon,Other,2,0,1,83.06675091,0,19,38.45430002
0,7000,58843,75300,HomeImp,Other,1.5,0,0,103.6666667,0,7,
1,10000,,,,Other,15,2,2,108.9333333,3,31,
1,10000,53297,74925,HomeImp,Other,14,0,1,88.53333333,2,15,
0,7700,14776,32287,,,,,,,,,34.88046232
0,20400,44746,63433,DebtCon,Office,5,0,0,176.3284966,2,26,36.67687831
1,15100,54000,77542,HomeImp,ProfExe,13,1,1,122.5666667,1,26,
0,26700,146193,185200,DebtCon,ProfExe,11,0,0,156.2294564,0,36,39.21027209
1,14100,52302,63589,HomeImp,ProfExe,6,0,0,130.3424672,4,8,34.79283165
0,8500,53459,62678,DebtCon,Mgr,13,0,0,116.8634491,0,18,30.05290208
1,15300,49421,67343,DebtCon,Other,4,0,0,57.92941509,6,22,42.92961419
1,9300,38115,60493,DebtCon,Other,14,0,0,91.93263226,0,18,29.63360847
0,4300,68815,79852,HomeImp,Other,6,0,0,105.1207088,0,14,41.80637615
1,8000,58000,73750,DebtCon,Mgr,22,0,4,221.4333333,1,20,
0,27700,54617,87722,DebtCon,Other,9,0,1,132.4113818,3,29,39.63110299
0,13300,35000,44195,HomeImp,Other,8,0,0,91.92352891,0,4,35.24312086
0,11100,,50262,HomeImp,Mgr,5,,,175.7568875,,8,22.95686376
1,10100,,25300,DebtCon,Other,,1,0,122.3,1,5,
0,13900,62968,84947,DebtCon,Office,13,0,0,239.7732321,3,37,42.23618914
1,15000,,74750,DebtCon,,,,,,,,
0,14600,51613,77912,DebtCon,Office,0,0,0,182.8825754,0,25,32.22445241
1,7500,,,HomeImp,Other,20,,,157.3284228,0,20,
0,11400,84380,202186,HomeImp,Self,13,0,0,34.91437168,,7,18.84034872
